timestamp,esgScore,governanceScore,environmentScore,socialScore,symbol
2021-02-01,13.88,7.29,2.18,4.4,ADS
2021-03-01,13.88,7.29,2.18,4.4,ADS
2021-05-01,13.88,7.29,2.18,4.4,ADS
2022-02-01,13.42,6.09,2.87,4.46,ADS
2022-05-01,13.42,6.09,2.87,4.46,ADS
2022-08-01,13.46,6.09,2.82,4.54,ADS
2023-09-01,14.83,5.58,2.58,6.67,ADS
2021-01-01,30.05,14.96,1.61,13.48,DBK
2021-02-01,30.05,14.96,1.61,13.48,DBK
2021-03-01,30.05,14.96,1.61,13.48,DBK
2021-05-01,30.05,14.96,1.61,13.48,DBK
2021-09-01,29.98,14.9,1.61,13.48,DBK
2022-02-01,27.36,14.53,1.3,11.54,DBK
2022-05-01,29.02,15.26,1.43,12.33,DBK
2022-08-01,29.02,15.26,1.43,12.33,DBK
2023-09-01,27.92,15.3,1.07,11.55,DBK
2021-01-01,27.93,8.55,6.24,13.13,AIR
2021-02-01,27.93,8.55,6.24,13.13,AIR
2021-03-01,28.35,8.91,6.24,13.19,AIR
2021-05-01,28.24,8.91,6.13,13.19,AIR
2021-09-01,27.36,9.03,4.46,13.86,AIR
2022-02-01,27.36,9.03,4.46,13.86,AIR
2022-05-01,27.36,9.03,4.46,13.86,AIR
2022-08-01,27.36,9.03,4.46,13.86,AIR
2023-09-01,24.88,8.0,5.91,10.97,AIR
2021-01-01,20.02,5.94,11.03,3.04,1COV
2021-02-01,20.02,5.94,11.03,3.04,1COV
2021-03-01,20.02,5.94,11.03,3.04,1COV
2021-05-01,20.9,5.86,12.0,3.04,1COV
2021-09-01,18.34,5.56,10.29,2.49,1COV
2022-02-01,18.34,5.56,10.29,2.49,1COV
2022-05-01,18.34,5.56,10.29,2.49,1COV
2022-08-01,21.13,6.17,11.44,3.51,1COV
2023-01-01,21.13,6.17,11.44,3.51,1COV
2023-09-01,20.09,4.67,11.55,3.87,1COV
2021-01-01,18.05,9.05,0.06,8.93,FME
2021-02-01,18.05,9.05,0.06,8.93,FME
